user_ID,GEOID,number_of_days,visit_count
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,53053073116,3,2
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,53033026200,3,4
3ea9e7e79431fc8fcc2fb447ee0dfc6a9fca74cc9e54558b80785b8577f6f37f,53033028402,1,4
40e27edbc0d0b5684d5fe2ca909e0b70fc05910370d862c149a20cdd93637972,53033026400,1,1
5b60012041533aca8a11b86cc391e1ae0ca7e0a9de6e2eadba332b6d66825bf6,53033010602,5,3
6db93f996408d398cebdb6ef77e68f88aaafc714d4ff05d914fcc4397eb8e94c,53053071304,11,31
97c849caf2367a58377e946eb575484fc691e6eb7bb15ceeed48b72ff7d9c64e,53033005804,2,4
d01a212a23148fa52244ce75d247e35d53f96cd6d8b353b0b3e37a873e955527,53053072903,2,4
f32492e1387ee27bb34969fb5988bf48324408295372721b9bd7b4816a9cedf4,53033032316,6,2
f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,53061040100,5,4
