,unix_start_t,user_ID,mark_1,orig_lat,orig_long,orig_unc,stay_lat,stay_long,stay_unc,stay_dur,stay_ind,human_start_t
0,1552522827,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,47.6515886,-122.3273974,900,-1,-1,-1,-1,-1,190313000000.0
1,1552850582,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,47.9993149,-122.2218245,122,-1,-1,-1,-1,-1,190317000000.0
2,1552851399,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,47.9990418,-122.2215741,104,-1,-1,-1,-1,-1,190317000000.0
3,1553827223,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,47.590755,-122.3302219,103,-1,-1,-1,-1,-1,190328000000.0
4,1553840035,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,47.9980326,-122.2213733,128,-1,-1,-1,-1,-1,190328000000.0
5,1554524949,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,48.0812004,-122.1851317,1300,-1,-1,-1,-1,-1,190405000000.0
6,1554878292,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,48.0025221,-122.2193118,116,-1,-1,-1,-1,-1,190409000000.0
7,1554879162,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,47.9990426,-122.2218204,104,-1,-1,-1,-1,-1,190409000000.0
8,1554880056,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,48.0025221,-122.2193118,116,-1,-1,-1,-1,-1,190410000000.0
9,1554880372,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,47.9955709,-122.2225579,110,-1,-1,-1,-1,-1,190410000000.0
10,1555020423,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,47.9955709,-122.2225579,104,-1,-1,-1,-1,-1,190411000000.0
11,1555021060,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,47.9993218,-122.2221718,104,-1,-1,-1,-1,-1,190411000000.0
12,1555021413,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,47.9989616,-122.2204288,104,-1,-1,-1,-1,-1,190411000000.0
13,1555110697,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,48.0031439,-122.2208003,110,-1,-1,-1,-1,-1,190412000000.0
14,1555184091,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,47.9990426,-122.2218204,122,-1,-1,-1,-1,-1,190413000000.0
15,1555184339,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,48.0015228,-122.2174606,128,-1,-1,-1,-1,-1,190413000000.0
16,1555443941,f98247efb013243c91c247aa6c6e119e71404a698005d1e3ee7654f17130cb25,0,47.4833374,-122.2630671,1400,-1,-1,-1,-1,-1,190416000000.0
17,1553982094,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.1159522,-122.2650743,1500,-1,-1,-1,-1,-1,190330000000.0
18,1553984305,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.097726,-122.2924183,135,-1,-1,-1,-1,-1,190330000000.0
19,1553986143,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.0213003,-122.2982385,128,-1,-1,-1,-1,-1,190330000000.0
20,1553986579,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,46.9719447,-122.2977938,2668,-1,-1,-1,-1,-1,190330000000.0
21,1553986941,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,46.8685675,-122.2715128,2786,-1,-1,-1,-1,-1,190330000000.0
22,1554003196,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,46.9071878,-122.2984671,2900,-1,-1,-1,-1,-1,190330000000.0
23,1554003789,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.0222448,-122.2967518,128,-1,-1,-1,-1,-1,190330000000.0
24,1554147565,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.1172909,-122.2931139,1900,-1,-1,-1,-1,-1,190401000000.0
25,1554149508,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.2225364,-122.2466355,122,-1,-1,-1,-1,-1,190401000000.0
26,1554149763,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.2878508,-122.2570387,116,-1,-1,-1,-1,-1,190401000000.0
27,1554150019,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.352749,-122.2403602,142,-1,-1,-1,-1,-1,190401000000.0
28,1554150345,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.4140638,-122.2207713,1200,-1,-1,-1,-1,-1,190401000000.0
29,1554151177,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.4143764,-122.2187845,274,-1,-1,-1,-1,-1,190401000000.0
30,1554193765,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.3792499,-122.2394016,3240,-1,-1,-1,-1,-1,190402000000.0
31,1554194005,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.2512795,-122.2539563,135,-1,-1,-1,-1,-1,190402000000.0
32,1554194494,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.1831243,-122.2561642,1725,-1,-1,-1,-1,-1,190402000000.0
33,1554235321,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.1433377,-122.2599365,900,-1,-1,-1,-1,-1,190402000000.0
34,1554236796,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.4140638,-122.2207713,1200,-1,-1,-1,-1,-1,190402000000.0
35,1554697633,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.1174734,-122.2690782,331,-1,-1,-1,-1,-1,190407000000.0
36,1554797522,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.3475032,-122.2536908,1300,-1,-1,-1,-1,-1,190409000000.0
37,1554797764,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.2833218,-122.2565039,1400,-1,-1,-1,-1,-1,190409000000.0
38,1554798007,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.2204613,-122.2447287,128,-1,-1,-1,-1,-1,190409000000.0
39,1554798495,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.186543,-122.2564498,3096,-1,-1,-1,-1,-1,190409000000.0
40,1554883886,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.4068553,-122.2281661,1617,-1,-1,-1,-1,-1,190410000000.0
41,1554884139,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.3484197,-122.2432415,1624,-1,-1,-1,-1,-1,190410000000.0
42,1554884391,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.3142613,-122.2455617,3199,-1,-1,-1,-1,-1,190410000000.0
43,1554884640,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.2002532,-122.283964,1300,-1,-1,-1,-1,-1,190410000000.0
44,1554885265,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.3142613,-122.2455617,1228,-1,-1,-1,-1,-1,190410000000.0
45,1555014275,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.199907,-122.250997,128,-1,-1,-1,-1,-1,190411000000.0
46,1555015616,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.3558005,-122.2424343,156,-1,-1,-1,-1,-1,190411000000.0
47,1555057003,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.3557016,-122.2440606,110,-1,-1,-1,-1,-1,190412000000.0
48,1555057364,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.2524753,-122.2562109,1200,-1,-1,-1,-1,-1,190412000000.0
49,1555057606,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.2160402,-122.249991,2400,-1,-1,-1,-1,-1,190412000000.0
50,1555057850,2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,0,47.1605212,-122.3003255,135,-1,-1,-1,-1,-1,190412000000.0
